Coverage Type,State,Rated Flood Zones, Policies in Force , Premium + FPF ,Total Annual Payment, Building Coverage , Contents Coverage , Total Coverage 
 GRAND TOTAL ,,," 4,684,736 "," $4,097,252,107 "," $5,103,985,036 "," $1,042,641,718,200 "," $243,439,774,000 "," $1,286,081,492,200 "
 Building & Contents , ALABAMA , All A Zones ," 13,907 "," $15,735,499 "," $19,634,586 "," $3,151,565,000 "," $919,045,000 "," $4,070,610,000 "
 Building & Contents , ALABAMA , All V Zones ," 4,504 "," $3,652,791 "," $4,661,621 "," $1,087,999,000 "," $135,351,000 "," $1,223,350,000 "
 Building & Contents , ALABAMA , Unknown or Invalid , 38 ," $32,569 "," $40,410 "," $8,479,000 "," $3,274,000 "," $11,753,000 "
 Building & Contents , ALABAMA , X Zone ," 9,663 "," $7,832,439 "," $9,797,884 "," $2,340,483,000 "," $857,611,000 "," $3,198,094,000 "
 Building & Contents , ALASKA , All A Zones , 803 ," $364,258 "," $502,931 "," $204,904,000 "," $66,438,000 "," $271,342,000 "
 Building & Contents , ALASKA , All V Zones , 32 ," $31,338 "," $40,882 "," $9,341,000 "," $3,150,000 "," $12,491,000 "
 Building & Contents , ALASKA , D Zone , 16 ," $8,125 "," $11,200 "," $3,672,000 "," $1,319,000 "," $4,991,000 "
 Building & Contents , ALASKA , Unknown or Invalid , 32 ," $20,179 "," $28,841 "," $7,937,000 "," $3,157,000 "," $11,094,000 "
 Building & Contents , ALASKA , X Zone ," 1,041 "," $379,916 "," $502,718 "," $264,089,000 "," $102,781,000 "," $366,870,000 "
 Building & Contents , ARIZONA , All A Zones ," 5,980 "," $5,847,035 "," $7,351,309 "," $1,439,704,000 "," $480,272,000 "," $1,919,976,000 "
 Building & Contents , ARIZONA , D Zone , 64 ," $64,239 "," $82,258 "," $16,157,000 "," $7,706,000 "," $23,863,000 "
 Building & Contents , ARIZONA , Unknown or Invalid , 5 ," $4,821 "," $6,446 "," $1,525,000 "," $322,000 "," $1,847,000 "
 Building & Contents , ARIZONA , X Zone ," 5,973 "," $4,609,520 "," $5,790,415 "," $1,433,477,000 "," $565,996,000 "," $1,999,473,000 "
 Building & Contents , ARKANSAS , All A Zones ," 2,892 "," $3,702,000 "," $4,635,168 "," $593,296,000 "," $218,558,000 "," $811,854,000 "
 Building & Contents , ARKANSAS , D Zone , 1 ," $1,005 "," $1,202 "," $250,000 "," $100,000 "," $350,000 "
 Building & Contents , ARKANSAS , Emergency Program , 10 ," $8,668 "," $11,743 "," $332,000 "," $89,000 "," $421,000 "
 Building & Contents , ARKANSAS , Unknown or Invalid , 44 ," $39,819 "," $52,889 "," $7,282,000 "," $3,125,000 "," $10,407,000 "
 Building & Contents , ARKANSAS , X Zone ," 2,272 "," $1,841,690 "," $2,325,935 "," $508,155,000 "," $210,032,000 "," $718,187,000 "
 Building & Contents , CALIFORNIA , All A Zones ," 57,055 "," $56,097,417 "," $70,388,804 "," $14,606,308,000 "," $5,092,303,000 "," $19,698,611,000 "
 Building & Contents , CALIFORNIA , All V Zones ," 1,354 "," $2,345,837 "," $2,963,958 "," $338,543,000 "," $120,388,000 "," $458,931,000 "
 Building & Contents , CALIFORNIA , D Zone , 520 ," $661,417 "," $830,263 "," $125,704,000 "," $49,180,000 "," $174,884,000 "
 Building & Contents , CALIFORNIA , Unknown or Invalid , 721 ," $438,549 "," $570,347 "," $178,227,000 "," $71,017,000 "," $249,244,000 "
 Building & Contents , CALIFORNIA , X Zone ," 55,327 "," $41,910,733 "," $52,917,873 "," $13,690,515,000 "," $5,361,474,000 "," $19,051,989,000 "
 Building & Contents , COLORADO , All A Zones ," 3,816 "," $4,779,780 "," $5,977,515 "," $957,241,000 "," $308,648,000 "," $1,265,889,000 "
